Hanzi,Pinyin
哎,āi
唉,āi
爱护,àihù
爱惜,àixī
爱心,àixīn
安慰,ānwèi
安装,ānzhuāng
岸,àn
暗,àn
熬夜,áoyè
把握,bǎwò
摆,bǎi
办理,bànlǐ
傍晚,bàngwǎn
包裹,bāoguǒ
包含,bāohán
包括,bāokuò
薄,báo
保持,bǎochí
保存,bǎocún
保留,bǎoliú
保险,bǎoxiǎn
宝贝,bǎobèi
宝贵,bǎoguì
报到,bàodào
报道,bàodào
报告,bàogào
报社,bàoshè
抱怨,bàoyuàn
悲观,bēiguān
背,bèi
背景,bèijǐng
被子,bèizi
本科,běnkē
本领,běnlǐng
本质,běnzhì
彼此,bǐcǐ
比例,bǐlì
必然,bìrán
必要,bìyào
毕竟,bìjìng
避免,bìmiǎn
编辑,biānjí
鞭炮,biānpào
便,biàn
辩论,biànlùn
标点,biāodiǎn
标志,biāozhì
表达,biǎodá
表面,biǎomiàn
表明,biǎomíng
表情,biǎoqíng
表现,biǎoxiàn
冰激凌,bīngjīlíng
病毒,bìngdú
播放,bōfàng
玻璃,bōli
博物馆,bówùguǎn
脖子,bózi
不断,búduàn
不见得,bújiànde
不耐烦,búnàifán
不要紧,búyàojǐn
补充,bǔchōng
不安,bùān
不得了,bùdéliǎo
不然,bùrán
不如,bùrú
不足,bùzú
布,bù
步骤,bùzhòu
部门,bùmén
财产,cáichǎn
彩虹,cǎihóng
踩,cǎi
采访,cǎifǎng
采取,cǎiqǔ
参考,cānkǎo
参与,cānyù
惭愧,cánkuì
操场,cāochǎng
操心,cāoxīn
册,cè
测验,cèyàn
曾经,céngjīng
叉子,chāzi
差距,chājù
插,chā
拆,chāi
产品,chǎnpǐn
产生,chǎnshēng
常识,chángshí
长途,chángtú
抄,chāo
超级,chāojí
朝,cháo
潮湿,cháoshī
吵,chǎo
吵架,chǎojià
炒,chǎo
车库,chēkù
车厢,chēxiāng
彻底,chèdǐ
沉默,chénmò
趁,chèn
称,chēng
称呼,chēnghu
称赞,chēngzàn
成分,chéngfèn
成果,chéngguǒ
成就,chéngjiù
成立,chénglì
成人,chéngrén
成熟,chéngshú
成语,chéngyǔ
成长,chéngzhǎng
承担,chéngdān
承认,chéngrèn
承受,chéngshòu
程度,chéngdù
程序,chéngxù
诚恳,chéngkěn
吃亏,chīkuī
持续,chíxù
池塘,chítáng
迟早,chízǎo
尺子,chǐzi
翅膀,chìbǎng
充电器,chōngdiànqì
充分,chōngfèn
充满,chōngmǎn
冲,chōng
重复,chóngfù
宠物,chǒngwù
抽屉,chōuti
抽象,chōuxiàng
丑,chǒu
臭,chòu
出版,chūbǎn
出口,chūkǒu
出色,chūsè
出示,chūshì
出席,chūxí
初级,chūjí
除非,chúfēi
除夕,chúxī
处理,chǔlǐ
传播,chuánbō
传染,chuánrǎn
传说,chuánshuō
传统,chuántǒng
窗帘,chuānglián
闯,chuǎng
创造,chuàngzào
吹,chuī
词汇,cíhuì
辞职,cízhí
此外,cǐwài
刺激,cìjī
次要,cìyào
匆忙,cōngmáng
从此,cóngcǐ
从而,cóngér
从前,cóngqián
从事,cóngshì
粗糙,cūcāo
促进,cùjìn
促使,cùshǐ
醋,cù
催,cuī
存在,cúnzài
措施,cuòshī
答应,dāying
达到,dádào
打工,dǎgōng
打交道,dǎjiāodào
打喷嚏,dǎpēntì
打听,dǎting
大方,dàfāng
大厦,dàshà
大象,dàxiàng
大型,dàxíng
呆,dāi
代表,dàibiǎo
代替,dàitì
待遇,dàiyù
贷款,dàikuǎn
单纯,dānchún
单调,dāndiào
单独,dāndú
单位,dānwèi
单元,dānyuán
担任,dānrèn
耽误,dānwu
胆小鬼,dǎnxiǎoguǐ
淡,dàn
当地,dāngdì
当心,dāngxīn
挡,dǎng
倒霉,dǎoméi
导演,dǎoyǎn
导致,dǎozhì
岛屿,dǎoyǔ
到达,dàodá
道德,dàodé
道理,dàolǐ
登记,dēngjì
等待,děngdài
等于,děngyú
滴,dī
敌人,dírén
的确,díquè
地道,dìdao
地理,dìlǐ
地区,dìqū
地毯,dìtǎn
地位,dìwèi
地震,dìzhèn
递,dì
点心,diǎnxin
电池,diànchí
电台,diàntái
钓,diào
顶,dǐng
冻,dòng
动画片,dònghuàpiān
洞,dòng
豆腐,dòufu
逗,dòu
独立,dúlì
独特,dútè
度过,dùguò
断,duàn
堆,duī
兑换,duìhuàn
对比,duìbǐ
对待,duìdài
对方,duìfāng
对手,duìshǒu
对象,duìxiàng
